...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
0,Queens Road,1675000,House,2716,5,Wimbledon,London,SW19,8NY,Further Outer,616.7157584683358
1,Seward Street,650000,Flat / Apartment,814,2,Clerkenwell,London,EC1,3PA,Further Outer,798.5257985257986
2,Hotham Road,735000,Flat / Apartment,761,2,Putney,London,SW15,1QL,Further Outer,965.8344283837057
3,Festing Road,1765000,House,1986,4,Putney,London,SW15,1LP,Further Outer,888.7210473313193
4,Spencer Walk,675000,Flat / Apartment,700,2,Putney,London,SW15,1PL,Further Outer,964.2857142857143
5,Craven Hill Gardens,420000,Flat / Apartment,403,1,NA,London,W2,3EA,Middle,1042.183622828784
6,Alfriston Road,1475000,House,1548,4,NA,London,SW11,6NW,Middle,952.842377260982
7,Bishops Gate,650000,New development,560,1,Fulham,London,SW6,3LF,Outer,1160.7142857142858
8,Adam & Eve Mews,2500000,House,1308,3,NA,London,W8,6UG,Middle,1911.31498470948
9,Hornton Street,925000,Flat / Apartment,646,2,NA,London,W8,4NT,Middle,1431.8885448916408
10,Drakefield Road,2400000,House,3392,6,NA,London,SW17,8RR,Outer,707.5471698113207
11,Cromwell Avenue,2500000,House,2974,6,Highgate,London,N6,5HQ,Middle,840.6186953597849
13,Grove End House,725000,Flat / Apartment,778,2,St. John's Wood,London,NW8,9HP,Middle,931.8766066838047
14,Abercorn Mansions,750000,Flat / Apartment,647,2,17 Abercorn Place,London,NW8,9DY,Middle,1159.1962905718701
15,Chester Terrace,12500000,House,4596,6,Regents Park,London,NW1,4ND,central,2719.7563098346386
18,Elsworthy Rise,2275000,New development,1173,3,Primrose Hill,London,NW3,3DS,Middle,1939.471440750213
20,Clapham Road,500000,Flat / Apartment,597,1,NA,London,SW9,9BT,Middle,837.5209380234506
21,Devonshire Close,5500000,House,3016,4,Marylebone,London,W1,7BA,central,1823.6074270557028
22,The Draycott,8950000,New development,3154,4,10 Draycott Avenue,London,SW3,3AA,Middle,2837.6664552948637
23,Campden Hill Gardens,1175000,Flat / Apartment,765,2,NA,London,W8,7AX,Middle,1535.9477124183006
24,College Cross,550000,Flat / Apartment,479,1,Islington,London,N1,1PT,central,1148.2254697286012
25,St Mary's Grove,1300000,House,1101,3,Islington,London,N1,2NT,central,1180.7447774750226
26,Goldhurst Terrace,800000,Flat / Apartment,1177,3,South Hampstead,London,NW6,3HR,Middle,679.6941376380629
27,Upper Park Road,3500000,House,2331,4,Belsize Park,London,NW3,2UP,Middle,1501.5015015015015
30,Wetherby House,1100000,Flat / Apartment,582,2,20-21 Wetherby Gardens,London,SW5,0JP,Middle,1890.0343642611683
